task_name,condition,model_name,modality_used,auc_mean,sensitivity_mean,specificity_mean,n_folds_complete,n_samples_total,source_run
Progressor_label,all_samples,intermediate_abmil_cnv,multimodal,0.8328144752620406,0.6721652197748818,0.8234958061752646,5,940,uni2/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
Progress_in_5,all_samples,early_mean_mlp_timev1,multimodal,0.8308086716515986,0.6889611509673033,0.7490437043031732,5,940,virchow2/runs/multimodal/all_samples/Progress_in_5_stage1_all_samples
NextBiopsyProgression_LGD3plus,exclude_lgd_hgd_imc,abmil,image,0.8307852910893556,0.6454456654456655,0.8747607105259607,5,638,gigapath/runs/image/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
Progress_in_4,all_samples,early_mean_mlp_timev1,multimodal,0.8299679822628075,0.7111381337347796,0.7672950945246193,5,940,virchow2/runs/multimodal/all_samples/Progress_in_4_stage1_all_samples
HasNextBiopsy,all_samples,early_mean_mlp_timev1,multimodal,0.8285089976399543,0.7606228146613014,0.6866666666666668,5,940,virchow2/runs/multimodal/all_samples/HasNextBiopsy_stage1_all_samples
NextBiopsyProgression_LGD3plus,all_samples,early_mean_mlp,multimodal,0.8262376520048329,0.6780384740406428,0.7710426971402582,5,903,uni2/runs/multimodal/all_samples/NextBiopsyProgression_LGD3plus_stage1_all_samples__epyc_overflow_20260304_173036
Progressor_label,all_samples,early_mean_mlp_timev1,multimodal,0.8255109823999003,0.581535735104301,0.8524714087285998,5,940,virchow2/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
Progressor_label,all_samples,early_mean_mlp,multimodal,0.8251416576152166,0.6036881861459245,0.8254345282413984,5,940,virchow2/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
Progressor_label,all_samples,intermediate_abmil_cnv,multimodal,0.8229468922070515,0.7366655216443908,0.7409541995857203,5,940,virchow2/runs/multimodal/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
Progressor_label,all_samples,abmil_nogate,image,0.8228130683272579,0.7536605668207242,0.6909127079178015,5,940,uni2/runs/image/all_samples/Progressor_label_stage1_all_samples__epyc_overflow_20260304_173036
NextBiopsyProgression_LGD3plus,all_samples,early_mean_mlp,multimodal,0.822199242188095,0.6607799483429736,0.8019824890556597,5,903,gigapath/runs/multimodal/all_samples/NextBiopsyProgression_LGD3plus_stage1_all_samples__epyc_overflow_20260304_173036
NextBiopsyProgression_LGD3plus,exclude_lgd_hgd_imc,early_mean_mlp,multimodal,0.8212267906917852,0.6290720390720389,0.9003537214461627,5,638,uni2/runs/multimodal/exclude_lgd_hgd_imc/NextBiopsyProgression_LGD3plus_stage2_exclusions__epyc_overflow_20260304_173036
