threshold,treat_all,treat_none,clinical,cnv,image,cnv_image_fusion,clinical_cnv,clinical_image,clinical_cnv_image
0.20999999999999996,0.15611814345991562,0.0,0.15611814345991565,0.15586497890295364,0.17113924050632914,0.19333333333333338,0.15966244725738402,0.17029535864978906,0.17029535864978906
0.21999999999999997,0.1452991452991453,0.0,0.14529914529914534,0.16119658119658126,0.15726495726495732,0.1818803418803419,0.1490598290598291,0.165982905982906,0.165982905982906
0.22999999999999998,0.13419913419913418,0.0,0.1341991341991342,0.16571428571428576,0.15203463203463205,0.17463203463203464,0.13818181818181818,0.1580952380952381,0.16008658008658008
0.24,0.12280701754385961,0.0,0.12280701754385964,0.1336842105263158,0.1449122807017544,0.1659649122807018,0.1270175438596491,0.15017543859649124,0.15228070175438596
0.24999999999999994,0.1111111111111111,0.0,0.11111111111111116,0.1177777777777778,0.1444444444444445,0.15555555555555559,0.11555555555555558,0.14666666666666667,0.1444444444444445
0.25999999999999995,0.09909909909909909,0.0,0.09909909909909911,0.10234234234234237,0.13531531531531535,0.15675675675675674,0.1037837837837838,0.14360360360360358,0.14126126126126126
0.26999999999999996,0.08675799086757988,0.0,0.11214611872146121,0.09616438356164383,0.1284018264840183,0.151324200913242,0.09415525114155252,0.12940639269406393,0.13114155251141554
0.27999999999999997,0.07407407407407407,0.0,0.10740740740740745,0.07814814814814815,0.12148148148148152,0.14444444444444443,0.08703703703703705,0.12185185185185188,0.12851851851851853
0.29,0.061032863849765195,0.0,0.13539906103286384,0.07737089201877936,0.10788732394366193,0.12873239436619718,0.07737089201877928,0.11427230046948356,0.1236619718309859
0.3,0.04761904761904756,0.0,0.1276190476190476,0.0819047619047619,0.09999999999999998,0.13523809523809524,0.06476190476190469,0.11523809523809522,0.11904761904761901
0.30999999999999994,0.033816425120772986,0.0,0.11961352657004837,0.07507246376811594,0.09033816425120778,0.11458937198067634,0.045120772946859955,0.11101449275362324,0.1206763285024155
0.31999999999999995,0.019607843137254943,0.0,0.11137254901960789,0.07568627450980392,0.07686274509803925,0.11333333333333334,0.04431372549019613,0.10392156862745103,0.12313725490196081
0.32999999999999996,0.00497512437810943,0.0,0.10288557213930352,0.04716417910447762,0.07990049751243783,0.11572139303482587,0.03771144278606969,0.09014925373134333,0.11661691542288558
