source_run,condition,model_name,modality_used,task_name,task_type,cnv_variant,cnv_mask_name,cnv_mask_k,cnv_mask_source_model,cnv_mask_source_kind,cnv_mask_resolution,n_folds_complete,n_folds_total,n_folds_skipped,skip_reasons,expected_folds,is_complete,n_samples_total,auc_mean,auc_sd,auprc_mean,auprc_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,brier_mean,brier_sd,ece_mean,ece_sd,sensitivity_at_spec90_mean,sensitivity_at_spec90_sd,sensitivity_at_spec95_mean,sensitivity_at_spec95_sd,specificity_at_sens90_mean,specificity_at_sens90_sd,specificity_at_sens95_mean,specificity_at_sens95_sd,macro_f1_mean,macro_f1_sd,macro_auc_ovr_mean,macro_auc_ovr_sd,mae_mean,mae_sd,mse_mean,mse_sd,rmse_mean,rmse_sd,r2_mean,r2_sd
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_4y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9172325059799851,0.031201316176605893,0.900708191710693,0.04399595814193602,0.797940851230325,0.048210902058454935,0.7855352070118198,0.12717854663373002,0.8341793356436582,0.12343513187800624,0.8098572713277388,0.031161216442979624,0.14111840640840273,0.03707637399887448,0.12996634082590863,0.056843143849696874,0.7173991376620281,0.058010117211896396,0.606984538589966,0.09790235315314269,0.6924241983442909,0.16015667177866785,0.6259479332084253,0.17667993165925058,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_hgd_imc,expert_mm_only,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.917232505979985,0.031201316176605907,0.900708191710693,0.043995958141936055,0.7979408512303248,0.04821090205845492,0.7855352070118198,0.12717854663373002,0.8341793356436582,0.1234351318780063,0.8098572713277388,0.031161216442979624,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_4y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9340192021012873,0.044687964436939544,0.9043539434347141,0.05944266263510497,0.8500358168554651,0.04292492852609517,0.8098491368001259,0.11056262435827764,0.8789088362617774,0.04838738788928852,0.8443789865309516,0.055020421815178376,0.10910211501881686,0.024893961024194177,0.10357928234355862,0.062366063991214186,0.8168802114958383,0.1230921118760422,0.7145298440518045,0.1709070395739706,0.777310924369748,0.22097455722592177,0.6946008403361345,0.19742360769048337,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_lgd_hgd_imc,expert_mm_only,multimodal,AtRisk_4y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9340192021012873,0.04468796443693956,0.9043539434347139,0.059442662635104934,0.8500358168554651,0.04292492852609517,0.8098491368001259,0.11056262435827764,0.8789088362617774,0.04838738788928852,0.8443789865309516,0.055020421815178376,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/all_samples/AtRisk_5y_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8909961550869865,0.03796033259115845,0.8669444162401605,0.01973558814146225,0.7990180248862545,0.05195358971162876,0.7589961086918491,0.14583522335914278,0.8491487783597955,0.04141376300506866,0.8040724435258223,0.056122206160297575,0.14289147466448257,0.029308403369469913,0.10905763319238151,0.042526784521099134,0.6764585200690678,0.11929648577697984,0.5508549822951445,0.12490755779807217,0.702190136786103,0.14901998412166362,0.5684844736299952,0.14709154341457295,,,,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,expert_mm_only,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8909961550869865,0.03796033259115843,0.8669444162401605,0.01973558814146225,0.7990180248862545,0.051953589711628834,0.7589961086918491,0.1458352233591428,0.8491487783597955,0.04141376300506866,0.8040724435258223,0.056122206160297575,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/exclude_hgd_imc/AtRisk_5y_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9032087153641862,0.028716317054013497,0.8703293335211715,0.05769214254348783,0.7584174666016772,0.1098810820515738,0.8480110213306089,0.12176063840145111,0.7375298868938396,0.1730581569481083,0.7927704541122242,0.07047484013786248,0.16147634284589807,0.05379841773372604,0.1700069215728825,0.08545265339366977,0.730118541221634,0.09310228594494664,0.6329690412061547,0.07727336353965965,0.6864657990532816,0.09936404865656175,0.532655185127112,0.1718092298277357,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_hgd_imc,expert_mm_only,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9032087153641861,0.028716317054013455,0.8703293335211715,0.05769214254348779,0.7584174666016772,0.1098810820515738,0.8480110213306091,0.12176063840145113,0.7375298868938396,0.1730581569481083,0.7927704541122242,0.07047484013786248,,,,,,,,,,,,,,,,,,,,,,,,
virchow2/runs/multimodal/exclude_lgd_hgd_imc/AtRisk_5y_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9092283344953234,0.056841649780027384,0.8544892604016935,0.07296636703910944,0.7917397856651343,0.09796553536057072,0.8782086927196806,0.09687915036598777,0.7533395929519056,0.12725118371243738,0.815774142835793,0.09176224093835379,0.1306603783109543,0.04946279276963552,0.1631914289526628,0.04963108057782916,0.7352897656180483,0.16661074898758724,0.6704836469930271,0.17355504246542847,0.7337020635610616,0.18886781858504978,0.5654525311800904,0.21860163357544946,,,,,,,,,,,,
routing/routing_moe_20260304_200011,exclude_lgd_hgd_imc,expert_mm_only,multimodal,AtRisk_5y,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9092283344953234,0.05684164978002739,0.8544892604016935,0.07296636703910944,0.7917397856651343,0.09796553536057069,0.8782086927196808,0.09687915036598775,0.7533395929519054,0.12725118371243735,0.815774142835793,0.09176224093835382,,,,,,,,,,,,,,,,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/CurrentGradeInt_stage1_all_samples,all_samples,cnv_elasticnet_logreg,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.3557329243926003,0.07516040887885933,,,,,,,,,,,,,,,,,,,0.20056120320696263,0.03271619128476833,0.6111727632108618,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/CurrentGradeInt_stage1_all_samples,all_samples,cnv_linear_svm_calibrated,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.47165345712612233,0.12180042383910931,,,,,,,,,,,,,,,,,,,0.22455113473434257,0.05194366871964212,0.6085194623030258,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/CurrentGradeInt_stage1_all_samples,all_samples,cnv_mlp,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.6170997818477655,0.026851780707541958,,,,,,,,,,,,,,,,,,,0.1924546533983201,0.025442979416208742,0.526015428458219,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/CurrentGradeInt_stage1_all_samples,all_samples,cnv_random_forest,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.6006281510148397,0.05126634222627888,,,,,,,,,,,,,,,,,,,0.1790557452812728,0.029672383610417692,0.6204815952052875,,,,,,,,,
cnv_anchor/runs/cnv/all_samples/CurrentGradeInt_stage1_all_samples,all_samples,cnv_xgboost,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.609029377737295,0.030713725738847977,,,,,,,,,,,,,,,,,,,0.20143492144607134,0.022795890649424663,0.6756223950988636,,,,,,,,,
cnv_anchor/runs/late_fusion/all_samples_20260304_200011,all_samples,latefusion_cnv_only,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.609029377737295,0.030713725738847997,,,,,,,,,,,,,,,,,,,0.20143492144607134,0.02279589064942466,0.5853030338214185,,,,,,,,,
virchow2/runs/multimodal/all_samples/CurrentGradeInt_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.5079979746316455,0.13179800164654676,,,,,,,,,,,,,,,,,,,0.35078906010667643,0.08365695612591753,0.7353409150560205,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,ensemble_available_mean,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.6288083021521935,0.02737472609081398,,,,,,,,,,,,,,,,,,,0.26374745008250405,0.04690129563739356,0.7444771888609951,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,ensemble_available_stack_logit,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.6354455485975459,0.050574559289063487,,,,,,,,,,,,,,,,,,,0.23676440387890083,0.03872794574718046,0.6686832805621946,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,expert_cnv_only,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.609029377737295,0.030713725738847997,,,,,,,,,,,,,,,,,,,0.20143492144607134,0.02279589064942466,0.5848040318254105,,,,,,,,,
routing/routing_moe_20260304_200011,all_samples,expert_mm_only,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,,,,,0.5079979746316455,0.13179800164654676,,,,,,,,,,,,,,,,,,,0.35078906010667643,0.08365695612591753,0.7353409150560205,,,,,,,,,
cnv_anchor/runs/cnv/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_hgd_imc,cnv_elasticnet_logreg,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.3664981978666189,0.166578364912412,,,,,,,,,,,,,,,,,,,0.2734130365701645,0.13007482259791597,0.5395295972350208,0.04168625255000699,,,,,,,,
cnv_anchor/runs/cnv/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_hgd_imc,cnv_linear_svm_calibrated,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7231923192975824,0.04292056951998526,,,,,,,,,,,,,,,,,,,0.28903392028596875,0.017835514342932055,0.5294892384096335,0.014055540614133308,,,,,,,,
cnv_anchor/runs/cnv/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_hgd_imc,cnv_mlp,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7020127624864466,0.03257395734396006,,,,,,,,,,,,,,,,,,,0.3366477694088216,0.03342600897341703,0.5396944080592319,0.07147899130664012,,,,,,,,
cnv_anchor/runs/cnv/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_hgd_imc,cnv_random_forest,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7322954189006821,0.039226902859826475,,,,,,,,,,,,,,,,,,,0.28861679318588646,0.022101588528989927,0.6315829649576588,0.044870916209969046,,,,,,,,
cnv_anchor/runs/cnv/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_hgd_imc,cnv_xgboost,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.6954412889149731,0.01568304169748105,,,,,,,,,,,,,,,,,,,0.31959607686608543,0.028100780273388887,0.6164353813460305,0.049481880814841596,,,,,,,,
cnv_anchor/runs/late_fusion/exclude_hgd_imc_20260304_200011,exclude_hgd_imc,latefusion_cnv_only,cnv,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7322954189006821,0.039226902859826475,,,,,,,,,,,,,,,,,,,0.28861679318588646,0.022101588528989954,0.6315807573602524,0.04487429574418359,,,,,,,,
virchow2/runs/multimodal/exclude_hgd_imc/CurrentGradeInt_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.6878539177749705,0.08030688526775466,,,,,,,,,,,,,,,,,,,0.43132143280303376,0.07101761191837115,0.7358277033454225,0.0733951433854434,,,,,,,,
routing/routing_moe_20260304_200011,exclude_hgd_imc,ensemble_available_mean,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7216960363012994,0.047747914124729035,,,,,,,,,,,,,,,,,,,0.3760828988457213,0.10619605771277492,0.741445472558085,0.07877406566563773,,,,,,,,
routing/routing_moe_20260304_200011,exclude_hgd_imc,ensemble_available_stack_logit,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7122149462675778,0.0487128105553008,,,,,,,,,,,,,,,,,,,0.33931726823238695,0.059064524590496416,0.7694723569662806,0.05259251239575654,,,,,,,,
routing/routing_moe_20260304_200011,exclude_hgd_imc,expert_cnv_only,multimodal,CurrentGradeInt,multiclass,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,,,,,0.7322954189006821,0.039226902859826475,,,,,,,,,,,,,,,,,,,0.28861679318588646,0.022101588528989954,0.631540172944668,0.04493647634960617,,,,,,,,
