source_run,condition,model_name,modality_used,task_name,task_type,cnv_variant,cnv_mask_name,cnv_mask_k,cnv_mask_source_model,cnv_mask_source_kind,cnv_mask_resolution,n_folds_complete,n_folds_total,n_folds_skipped,skip_reasons,expected_folds,is_complete,n_samples_total,auc_mean,auc_sd,auprc_mean,auprc_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,brier_mean,brier_sd,ece_mean,ece_sd,sensitivity_at_spec90_mean,sensitivity_at_spec90_sd,sensitivity_at_spec95_mean,sensitivity_at_spec95_sd,specificity_at_sens90_mean,specificity_at_sens90_sd,specificity_at_sens95_mean,specificity_at_sens95_sd,macro_f1_mean,macro_f1_sd,macro_auc_ovr_mean,macro_auc_ovr_sd,mae_mean,mae_sd,mse_mean,mse_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,best_score_metric,best_score
virchow2/runs/multimodal/exclude_lgd_hgd_imc/DaysSincePreviousBiopsy_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,DaysSincePreviousBiopsy,regression,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.69926973767307,19.751342295709,5220.349537861446,2569.945228890128,70.39427469855164,18.200124571218545,0.9713476094111513,0.02153245854243483,mae_mean,53.69926973767307
virchow2/runs/multimodal/all_samples/DaysToNextBiopsy_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,DaysToNextBiopsy,regression,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.42673534338556,22.33202105802642,102547.17068755603,17435.53296690253,319.2729217318373,27.658003732466803,0.13726611938241923,0.18532525163212715,mae_mean,242.42673534338556
virchow2/runs/multimodal/exclude_hgd_imc/DaysToNextBiopsy_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,DaysToNextBiopsy,regression,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.3275806451906,34.537859394231994,105660.28358304784,23330.787879678162,323.40528337751164,36.55998951311488,0.03771352653413209,0.21533890885262483,mae_mean,244.3275806451906
virchow2/runs/multimodal/exclude_lgd_hgd_imc/DaysToNextBiopsy_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,DaysToNextBiopsy,regression,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.3116621596042,28.505802198531487,96448.92606566811,24915.918424084964,308.51327614535626,39.819663919464254,-0.017725974970069492,0.10141531083092059,mae_mean,222.3116621596042
virchow2/runs/multimodal/all_samples/HasNextBiopsy_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,HasNextBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.8285089976399543,0.1600273156456502,0.9933003862139671,0.005107111647921832,0.7618299349725518,0.15572972463647397,0.7606228146613014,0.17066757052671627,0.6866666666666668,0.41739935579996074,0.723644740663984,0.17595179602576322,0.16136983993879112,0.10436201802105334,0.25747865105179174,0.1487131771721985,0.6554063103355968,0.21411337713944623,0.6542014910584883,0.2136126927542439,0.573939393939394,0.3912706807801987,0.49757575757575756,0.4192695559115081,,,,,,,,,,,,,auc_mean,0.8285089976399543
virchow2/runs/multimodal/exclude_hgd_imc/HasNextBiopsy_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,HasNextBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.8705876892618187,0.09358735076569773,0.9926015845332863,0.01050925571998381,0.8346872627135784,0.14904418890584512,0.8452361627294849,0.16327973562482828,0.63,0.4295346318982906,0.7376180813647425,0.16319994447626407,0.1168644222360875,0.08059505861763212,0.186558628554294,0.1358256468752496,0.7879357333320167,0.19103790210481897,0.865943763050563,0.08995714933798465,0.53,0.37682887362833545,0.33999999999999997,0.4219004621945797,,,,,,,,,,,,,auc_mean,0.8705876892618187
virchow2/runs/multimodal/exclude_lgd_hgd_imc/HasNextBiopsy_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,HasNextBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.8732250026396369,0.10607958224742836,0.9915725187566637,0.011397291814642444,0.8438768379991167,0.09433345810683169,0.8675776610884821,0.12225738503935486,0.47000000000000003,0.4522167621838005,0.668788830544241,0.1681119437966687,0.12096272243371475,0.05680120789058296,0.22309102388145496,0.11113076617607674,0.7557924189631506,0.2151006674870904,0.7503378735086053,0.2247776026100482,0.5599999999999999,0.433589667773576,0.36,0.403732584763727,,,,,,,,,,,,,auc_mean,0.8732250026396369
virchow2/runs/multimodal/all_samples/IsFirstBiopsy_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,IsFirstBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.9990603146853146,0.00210120024109464,0.9966610554097717,0.007466107076856078,0.9856664053152346,0.013757457040013207,1.0,0.0,0.9787212787212788,0.020427267055898944,0.9893606393606393,0.010213633527949491,0.010221309490873161,0.007803521812978023,0.020024438450699632,0.010673787485714674,1.0,0.0,1.0,0.0,0.9986013986013986,0.0031273678006990004,0.9986013986013986,0.0031273678006990004,,,,,,,,,,,,,auc_mean,0.9990603146853146
virchow2/runs/multimodal/exclude_hgd_imc/IsFirstBiopsy_stage2_exclusions,exclude_hgd_imc,early_mean_mlp_timev1,multimodal,IsFirstBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9998832911884847,0.00026096883612134234,0.9997863501423486,0.00047773560509140864,0.9935599810336653,0.008301504545343294,1.0,0.0,0.9895490552923262,0.014185576535574812,0.9947745276461631,0.00709278826778738,0.006018800326786571,0.006785701644836964,0.011643758504866087,0.004315566779405856,1.0,0.0,1.0,0.0,1.0,0.0,0.9979381443298969,0.0046104494381438805,,,,,,,,,,,,,auc_mean,0.9998832911884847
virchow2/runs/multimodal/exclude_lgd_hgd_imc/IsFirstBiopsy_stage2_exclusions,exclude_lgd_hgd_imc,early_mean_mlp_timev1,multimodal,IsFirstBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,671,0.9994947368421052,0.0011298027675788525,0.9989389194298788,0.00237264828439528,0.9852751886542276,0.010143056331738868,1.0,0.0,0.9767054701075896,0.015081849129162871,0.9883527350537948,0.007540924564581443,0.010529860472500444,0.007155319133042988,0.016274543455475916,0.0050554762734416805,1.0,0.0,1.0,0.0,0.9978947368421054,0.004707511531578519,0.9978947368421054,0.004707511531578519,,,,,,,,,,,,,auc_mean,0.9994947368421052
virchow2/runs/multimodal/all_samples/IsLastBiopsy_stage1_all_samples,all_samples,early_mean_mlp_timev1,multimodal,IsLastBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,940,0.996462587376848,0.00291079472702613,0.9950445364222318,0.0041508299447225875,0.9449324948341096,0.018309331809947732,0.9721044546850999,0.02775487787809931,0.9261437244995196,0.049339812723472425,0.9491240895923096,0.012124629536002567,0.03784847389190319,0.011321297769647196,0.05417928232349001,0.024710943693378125,0.9971428571428571,0.006388765649999377,0.9857142857142858,0.0202030508910442,0.9923520923520923,0.013122588795832205,0.9805019583591011,0.019557757130768336,,,,,,,,,,,,,auc_mean,0.996462587376848
routing/routing_moe_20260304_200011,exclude_hgd_imc,expert_mm_only,multimodal,IsLastBiopsy,binary,windows_armdiff_plus_arms_plus_cx,none,-1,,,,5,5,0,,5,True,820,0.9935380297602586,0.009031619756935453,0.9899902185763789,0.01402774601954163,0.9465524624735153,0.037165182030476016,0.9686888070470159,0.04402093138345591,0.9331010139829308,0.049237844294581834,0.9508949105149733,0.035881006301516645,,,,,,,,,,,,,,,,,,,,,,,,,auc_mean,0.9935380297602586
