task_name,model_id,modality,encoder,model_name,aggregation_level,aggregation_strategy,n_eval,n_pos,n_neg,auc,sensitivity,specificity,accuracy,error_rate,fnr,fn_count,tp_count,report_section,from_biopsy_strategy,richness_axis,group_name,from_patient_strategy,biopsy_count_group
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,228,83,145,0.7840465309513918,0.7710843373493976,0.6344827586206897,0.6842105263157895,0.3157894736842105,0.2289156626506024,19,64,task3_data_richness,biopsy_max,slide_group,1_slide,,
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,97,27,70,0.7439153439153439,0.7407407407407407,0.5142857142857142,0.5773195876288659,0.4226804123711341,0.25925925925925924,7,20,task3_data_richness,biopsy_max,slide_group,2_slides,,
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,145,48,97,0.8651202749140894,0.9166666666666666,0.5463917525773195,0.6689655172413793,0.3310344827586207,0.08333333333333333,4,44,task3_data_richness,biopsy_max,slide_group,3plus_slides,,
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,233,84,149,0.781240012783637,0.7619047619047619,0.6375838926174496,0.6824034334763949,0.31759656652360513,0.23809523809523808,20,64,task3_data_richness,biopsy_max,swgs_group,1_swgs,,
Progressor_label,image|uni2|abmil_nogate,image,uni2,abmil_nogate,,,237,74,163,0.8268943790416183,0.8648648648648649,0.5276073619631901,0.6329113924050633,0.36708860759493667,0.13513513513513514,10,64,task3_data_richness,biopsy_max,swgs_group,2plus_swgs,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,228,83,145,0.7001661819692564,0.2891566265060241,0.8827586206896552,0.6666666666666666,0.33333333333333337,0.7108433734939759,59,24,task3_data_richness,biopsy_mean,slide_group,1_slide,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,97,27,70,0.7417989417989419,0.2962962962962963,0.9571428571428572,0.7731958762886598,0.22680412371134018,0.7037037037037037,19,8,task3_data_richness,biopsy_mean,slide_group,2_slides,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,145,48,97,0.8032646048109966,0.22916666666666666,0.9175257731958762,0.6896551724137931,0.31034482758620685,0.7708333333333334,37,11,task3_data_richness,biopsy_mean,slide_group,3plus_slides,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,233,84,149,0.6939517417705336,0.2857142857142857,0.87248322147651,0.6609442060085837,0.3390557939914163,0.7142857142857143,60,24,task3_data_richness,biopsy_mean,swgs_group,1_swgs,,
Progressor_label,cnv|cnv_anchor|cnv_random_forest,cnv,cnv_anchor,cnv_random_forest,,,237,74,163,0.7916597579174266,0.25675675675675674,0.9447852760736196,0.729957805907173,0.27004219409282704,0.7432432432432432,55,19,task3_data_richness,biopsy_mean,swgs_group,2plus_swgs,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,228,83,145,0.7902783547985044,0.6385542168674698,0.8137931034482758,0.75,0.25,0.3614457831325301,30,53,task3_data_richness,biopsy_mean,slide_group,1_slide,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,97,27,70,0.7693121693121694,0.6666666666666666,0.8285714285714286,0.7835051546391752,0.21649484536082475,0.3333333333333333,9,18,task3_data_richness,biopsy_mean,slide_group,2_slides,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,145,48,97,0.8088487972508591,0.6666666666666666,0.845360824742268,0.7862068965517242,0.21379310344827585,0.3333333333333333,16,32,task3_data_richness,biopsy_mean,slide_group,3plus_slides,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,233,84,149,0.7905081495685522,0.6428571428571429,0.8120805369127517,0.7510729613733905,0.24892703862660948,0.35714285714285715,30,54,task3_data_richness,biopsy_mean,swgs_group,1_swgs,,
Progressor_label,multimodal|uni2|early_mean_mlp,multimodal,uni2,early_mean_mlp,,,237,74,163,0.7954733874979274,0.6621621621621622,0.8404907975460123,0.7848101265822784,0.21518987341772156,0.33783783783783783,25,49,task3_data_richness,biopsy_mean,swgs_group,2plus_swgs,,
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,224,34,190,0.7038699690402477,0.6176470588235294,0.6473684210526316,0.6428571428571429,0.3571428571428571,0.38235294117647056,13,21,task3_data_richness,biopsy_max,slide_group,1_slide,,
NextBiopsyProgression_LGD3plus,image|gigapath|set_transformer_lite,image,gigapath,set_transformer_lite,,,90,17,73,0.6663980660757455,0.5882352941176471,0.589041095890411,0.5888888888888889,0.4111111111111111,0.4117647058823529,7,10,task3_data_richness,biopsy_max,slide_group,2_slides,,
